hdi_rank,country,hdi_1990,hdi_2000,hdi_2010,hdi_2015,hdi_2019,hdi_2020,hdi_2021,hdi_2022,rank_change_2015_2022,avg_growth_1990_2000,avg_growth_2000_2010,avg_growth_2010_2022,avg_growth_1990_2022,tier_hdi,iso3c
1,Switzerland,0.85,0.885,0.94,0.952,0.96,0.957,0.965,0.967,0,0.4043281648842712,0.604743537446506,0.23626717360962776,0.4038198701804996,Very High,CHE
2,Norway,0.8449999999999999,0.914,0.938,0.952,0.961,0.963,0.964,0.966,-1,0.7880281668532385,0.2595299729919676,0.2454163642090279,0.4190857398882697,Very High,NOR
3,Iceland,0.8339999999999999,0.895,0.927,0.948,0.958,0.955,0.957,0.959,0,0.7084005283893413,0.3519162491963934,0.2832128696866887,0.437383970323757,Very High,ISL
4,"Hong Kong, China (SAR)",0.739,0.8309999999999998,0.914,0.936,0.953,0.955,0.959,0.956,2,1.180229123889753,0.9565537745857443,0.3750962450434825,0.8078077768602254,Very High,HKG
5,Denmark,0.8389999999999999,0.89,0.913,0.936,0.946,0.946,0.947,0.952,1,0.5918521271812692,0.2554699484493605,0.34918451861627453,0.3956378644203173,Very High,DNK
5,Sweden,0.808,0.903,0.91,0.937,0.947,0.944,0.949,0.952,0,1.1178062333988104,0.07725028361293963,0.37671140779147455,0.5138248762838193,Very High,SWE
7,Germany,0.8279999999999998,0.89,0.929,0.941,0.951,0.948,0.948,0.95,-3,0.7246963895998437,0.4297937362351068,0.1864506516440212,0.430451386349473,Very High,DEU
7,Ireland,0.743,0.851,0.908,0.924,0.942,0.945,0.946,0.95,8,1.366412070253964,0.65042865970939,0.3775242174655524,0.7709753894876936,Very High,IRL
9,Singapore,0.78,0.863,0.921,0.935,0.945,0.942,0.942,0.949,-1,1.0163376962131432,0.6525734943204853,0.24988471232882947,0.61474081973671435,Very High,SGP
10,Australia,0.864,0.896,0.924,0.933,0.941,0.948,0.949,0.946,-1,0.3643385468768745,0.30819052015538245,0.19627985563623884,0.2837449218065835,Very High,AUS
10,Netherlands,0.847,0.892,0.917,0.932,0.941,0.938,0.941,0.946,1,0.5189965244531969,0.2767957708239788,0.25979602648626976,0.34604070069506054,Very High,NLD
12,Belgium,0.8139999999999998,0.884,0.913,0.924,0.936,0.93,0.938,0.942,3,0.8283791956293917,0.32330970160379113,0.26091808347108447,0.457433386186934,Very High,BEL
12,Finland,0.811,0.887,0.912,0.93,0.939,0.939,0.941,0.942,0,0.8997933013093373,0.27833671701431584,0.2700747507206058,0.46902531042225526,Very High,FIN
12,Liechtenstein,NA,0.871,0.916,0.926,0.94,0.933,0.936,0.942,2,NA,0.505014800859338,0.23351313407635743,NA,Very High,LIE
15,United Kingdom,0.804,0.863,0.913,0.923,0.933,0.92,0.931,0.94,3,0.7106675603090196,0.5648009150919231,0.2431617821232468,0.48957139773733166,Very High,GBR
16,New Zealand,0.812,0.894,0.924,0.933,0.937,0.935,0.936,0.939,-7,0.9666969692105677,0.3306082722727144,0.13428514492019872,0.4551424506325841,Very High,NZL
17,United Arab Emirates,0.717,0.79,0.8279999999999998,0.86,0.933,0.93,0.931,0.937,19,0.9742866166451148,0.4709073894872296,1.0359132100248305,0.8397797878233914,Very High,ARE
18,Canada,0.861,0.89,0.911,0.927,0.932,0.928,0.934,0.935,-5,0.33181888705922086,0.2334865015200416,0.21693189106242183,0.2579948129975973,Very High,CAN
19,Korea (Republic of),0.731,0.8239999999999998,0.89,0.908,0.922,0.922,0.926,0.929,3,1.2047702908760671,0.7734853899920012,0.358033381151901,0.7518601273504899,Very High,KOR
20,Luxembourg,0.793,0.864,0.912,0.914,0.925,0.921,0.927,0.927,-1,0.8611824952636349,0.542136482688238,0.13603891152160763,0.4890995307370583,Very High,LUX
20,United States,0.875,0.894,0.916,0.924,0.933,0.923,0.921,0.927,-5,0.2150497892426495,0.24340163699394515,0.09952616855160024,0.1805680756945538,Very High,USA
22,Austria,0.8229999999999998,0.87,0.903,0.91,0.92,0.916,0.92,0.926,-1,0.5569151484128954,0.37298729044146217,0.20981715235308676,0.36917362948143406,Very High,AUT
22,Slovenia,NA,0.8229999999999998,0.89,0.903,0.918,0.91,0.916,0.926,1,NA,0.7857233519387385,0.3309863200395391,NA,Very High,SVN
24,Japan,0.8459999999999999,0.883,0.903,0.913,0.918,0.917,0.92,0.92,-4,0.4289758886368622,0.2242245361989914,0.15554682064986558,0.26238835738745525,Very High,JPN
25,Israel,0.781,0.8349999999999999,0.887,0.899,0.909,0.906,0.911,0.915,-1,0.6708056398523787,0.6059611358825157,0.2593280329854064,0.49606671765196614,Very High,ISR
25,Malta,0.726,0.779,0.862,0.887,0.905,0.901,0.912,0.915,3,0.7070985295572152,1.0175847848762576,0.4984782445358382,0.7256641815571285,Very High,MLT
27,Spain,0.762,0.8279999999999998,0.868,0.889,0.904,0.894,0.904,0.911,0,0.8341255895083277,0.4729002632722912,0.4037393619223728,0.5596739226881642,Very High,ESP
28,France,0.79,0.8439999999999999,0.88,0.893,0.905,0.9,0.906,0.91,-3,0.6633862143969216,0.4185676865319898,0.27974632881242467,0.4428892873233004,Very High,FRA
29,Cyprus,0.733,0.797,0.859,0.874,0.901,0.9,0.901,0.907,3,0.840603162018061,0.7519555241586316,0.45414084241739433,0.667834976902304,Very High,CYP
30,Italy,0.78,0.8419999999999999,0.88,0.881,0.899,0.892,0.899,0.906,0,0.767793478749712,0.44239462076449687,0.24293960928694067,0.4690509485459238,Very High,ITA
31,Estonia,0.741,0.798,0.864,0.883,0.893,0.891,0.89,0.899,-2,0.743832513231002,0.7978073704614673,0.3314670215578408,0.6058353323178389,Very High,EST
32,Czechia,0.748,0.81,0.872,0.891,0.896,0.891,0.891,0.895,-6,0.7994916991399981,0.7402783747064268,0.21718796516903005,0.5622646206586479,Very High,CZE
33,Greece,0.762,0.8179999999999998,0.874,0.881,0.89,0.887,0.887,0.893,-3,0.7116782876865679,0.6643776521435996,0.17937906895661992,0.4969809525998681,Very High,GRC
34,Bahrain,0.733,0.775,0.807,0.859,0.888,0.884,0.884,0.888,3,0.5587283718106795,0.4054260258781417,0.8002523273454409,0.6012567138136804,Very High,BHR
35,Andorra,NA,0.8149999999999998,0.863,0.856,0.865,0.8429999999999999,0.855,0.884,3,NA,0.573906347009312,0.20055393720901368,NA,Very High,AND
36,Poland,0.715,0.794,0.8449999999999999,0.869,0.88,0.874,0.876,0.881,-2,1.0535200363789965,0.6244734167023536,0.34828007869158734,0.6545550443447956,Very High,POL
37,Latvia,0.732,0.761,0.8269999999999998,0.853,0.873,0.873,0.865,0.879,2,0.3892841891944832,0.8351817161763363,0.5094617207964003,0.5735271043538104,Very High,LVA
37,Lithuania,0.74,0.769,0.8459999999999999,0.865,0.886,0.88,0.875,0.879,-2,0.3851476276239163,0.958851708211883,0.3193884454652851,0.5393703659616556,Very High,LTU
39,Croatia,NA,0.764,0.8239999999999998,0.8439999999999999,0.866,0.86,0.867,0.878,6,NA,0.7588925104034193,0.5303686992664812,NA,Very High,HRV
40,Qatar,0.764,0.793,0.8289999999999998,0.852,0.869,0.863,0.864,0.875,0,0.3732491709327768,0.4449563389810285,0.4510452542204391,0.42482513813044687,Very High,QAT
40,Saudi Arabia,0.699,0.746,0.805,0.8419999999999999,0.862,0.861,0.867,0.875,6,0.6528705486665176,0.7640710104457327,0.6972664021925867,0.7042593997358848,Very High,SAU
42,Portugal,0.703,0.793,0.8309999999999998,0.85,0.864,0.861,0.865,0.874,0,1.2119485915791597,0.46916287096328,0.42130651770799776,0.6827057701928929,Very High,PRT
43,San Marino,0.8409999999999999,0.875,0.901,0.872,0.861,0.8439999999999999,0.853,0.867,-10,0.3971086590740303,0.29324283059504186,-0.3200391197440422,0.0951931449646448,Very High,SMR
44,Chile,0.705,0.763,0.8129999999999998,0.8459999999999999,0.859,0.849,0.856,0.86,0,0.7937357970147385,0.6367494672764762,0.4694424421615606,0.6229780691581643,Very High,CHL
45,Slovakia,NA,0.761,0.8409999999999999,0.852,0.863,0.86,0.852,0.855,-5,NA,1.004595539700026,0.1376764284619636,NA,Very High,SVK
45,Türkiye,0.598,0.669,0.75,0.8209999999999998,0.8419999999999999,0.8349999999999999,0.8409999999999999,0.855,9,1.1282503338347016,1.149447420531069,1.0978851950173452,1.1234852046300592,Very High,TUR
47,Hungary,0.7209999999999999,0.773,0.8289999999999998,0.8389999999999999,0.854,0.849,0.8459999999999999,0.851,0,0.6988296103593861,0.7018626569057052,0.21850481992211623,0.5193847481602454,Very High,HUN
48,Argentina,0.724,0.78,0.8339999999999999,0.85,0.853,0.8409999999999999,0.8439999999999999,0.849,-6,0.7478074913843225,0.6716402814445299,0.14865858709580682,0.4989524988972871,Very High,ARG
49,Kuwait,0.698,0.78,0.811,0.8289999999999998,0.8379999999999999,0.8259999999999998,0.8359999999999999,0.847,0,1.1169398802265418,0.3905018235414559,0.36259446009292423,0.6064615512461735,Very High,KWT
50,Montenegro,NA,NA,0.806,0.8269999999999998,0.8409999999999999,0.8319999999999999,0.84,0.8439999999999999,1,NA,NA,0.3846441314551363,NA,Very High,MNE
51,Saint Kitts and Nevis,NA,NA,0.79,0.8289999999999998,0.8379999999999999,0.8319999999999999,0.8319999999999999,0.8379999999999999,-2,NA,NA,0.4927530127418312,NA,Very High,KNA
52,Uruguay,0.702,0.754,0.785,0.807,0.8179999999999998,0.82,0.8139999999999998,0.83,8,0.7171489240829665,0.40372628542164607,0.4655970755429229,0.5247856285203412,Very High,URY
53,Romania,0.709,0.7209999999999999,0.8129999999999998,0.8129999999999998,0.8339999999999999,0.8279999999999998,0.8249999999999998,0.8269999999999998,3,0.1679770311523887,1.208159716674162,0.1423811448067358,0.4822502530493989,Very High,ROU
54,Antigua and Barbuda,NA,NA,0.808,0.8179999999999998,0.8309999999999998,0.82,0.8189999999999998,0.8259999999999998,1,NA,NA,0.18377461727885347,NA,Very High,ATG
